URL,Title,year,Release date,Genres,Language,Country,Main image,Duration,Rating,Director,Stars,Short Description,Story line,Budget,Opening Weekend,Gross,Production Company,Runtime,SoundMix,Color,Aspect Ration,Official Sites,Also Known As,Filming Location,Writers,TagLines,Plot Keywords
http://www.imdb.com/title/tt0146882/,High Fidelity,2000,31 March 2000,"Comedy, Drama, Music, Romance","English, Danish","UK, USA","http://ia.media-imdb.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1._SY317_CR8,0,214,317_.jpg",113 min,7.6,Stephen Frears,"John Cusack, Iben Hjejle","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","High Fidelity follows the 'mid-life' crisis of Rob, a thirty-something record-store owner who must face the undeniable facts - he's growing up. In a hilarious homage to the music scene, Rob and the wacky, offbeat clerks that inhabit his store expound on the intricacies of life and song all the while trying to succeed in their adult relationships. Are they listening to pop music because they are miserable? Or are they miserable because they listen to pop music? This romantic comedy provides a whimsical glimpse into the male view of the affairs of the heart.,","$20,000,000(estimated)","$6,429,107(USA)(2 April 2000)(1183 Screens)","$27,277,055(USA)(10 September 2000)","Dogstar Films, New Crime Productions, Touchstone Pictures",113 min,"DTS, Dolby Digital, SDDS",Color,1.85 : 1,,Alta fidelidad,"Buck Town, Lincoln Square, Chicago, Illinois, USA",Nick HornbyD.V. DeVincentisand 3 more credits,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.","Store , Record Store , Pop Music , Thirty Something , Love , See more"
http://www.imdb.com/title/tt0200550/,Coyote Ugly,2000,10 November 2000,"Comedy, Drama, Romance, Music",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTk1NzM1ODg4OF5BMl5BanBnXkFtZTcwMTQ3OTgyMQ@@._V1._SY317_CR4,0,214,317_.jpg",100 min,5.4,David McNally,"Piper Perabo, Adam Garcia","Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.","Sexy, romantic comedy about a girl in her early 20s named Violet Sanford going to NYC to pursue a dream of becoming a songwriter. Violet gets a ""day"" job as a bar maid at a nightclub called Coyote Ugly. Coyote Ugly is the city's newest hot spot where the employees are a team of sexy, resourceful women that provoke the clientele and press with their mischief.,","$45,000,000(estimated)","$17,319,282(USA)(6 August 2000)(2653 Screens)","$113,916,474(Worldwide)","Jerry Bruckheimer Films, Touchstone Pictures","100 min, 107 min","DTS, Dolby Digital, SDDS",Color,2.35 : 1,,Ruzni Kojot,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",,This party never ends.,"Bar , Songwriter , Nightclub , Club , Apartment , See more"
http://www.imdb.com/title/tt0207201/,What Women Want,2000,18 May 2001,"Comedy, Fantasy, Romance","English, French",USA,http://ia.media-imdb.com/images/M/MV5BMTg2MzI2NjE5OV5BMl5BanBnXkFtZTcwMzY2MTIyMQ@@._V1._SY317_.jpg,127 min,6.3,Nancy Meyers,"Mel Gibson, Helen Hunt","After an accident, a chauvenistic executive gains the ability to hear what women are really thinking.","Nick, a somewhat chauvinistic advertising exec hot shot, has his life turned haywire when a fluke accident enables him to hear what women think. At first all he wants to do is rid himself of this curse, until a wacky psychologist shows him that this could be used to his advantage! His first target is Darcy McGuire, the very woman that got the promotion he wanted. But just as his plan is beginning to work, love gets in the way...,","$70,000,000(estimated)","$33,614,543(USA)(17 December 2000)(3012 Screens)","$374,111,707(Worldwide)","Paramount Pictures, Icon Entertainment International, Wind Dancer Productions",127 min,"DTS, Dolby Digital",Color,1.37 : 1,,Ce que veulent les femmes,"Chicago, Illinois, USA",Josh GoldsmithCathy Yuspaand 3 more credits,He has the power to hear everything women are thinking.  Finally... a man is listening.,"Advertising , Psychiatrist , Sabotage , Drunkenness , Bathtub , See more"
http://www.imdb.com/title/tt0190332/,Wo hu cang long,2000,22 December 2000,"Action, Adventure, Drama, Fantasy, Romance",Mandarin,"Taiwan, Hong Kong, USA, China","http://ia.media-imdb.com/images/M/MV5BMTYzNjQzNzQ2MV5BMl5BanBnXkFtZTcwMjg2MTgyMQ@@._V1._SY317_CR2,0,214,317_.jpg",120 min,7.9,Ang Lee,"Yun-Fat Chow, Michelle Yeoh","Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.","The disappearance of a magical jade sword spurs a breathtaking quest for the missing treasure. Li is embittered by the loss of his jade sword, and his unrequited pursuit of Yu is further complicated by the mysterious intrusion of an assassin. The identity of the assassin is gradually unveiled as another poignant tale of love begins to ravel with that of Li and Yu against the backdrop of Western China's magnificent landscape.,","$15,000,000(estimated)","HKD 7,714,001(Hong Kong)(20 July 2000)(42 Screens)","$128,067,808(USA)(29 July 2001)","Asia Union Film & Entertainment Ltd., China Film Co-Production Corporation, Columbia Pictures Film Production Asia",120 min,Dolby Digital,Color,2.35 : 1,Kinowelt Median AG (german),"Crouching Tiger, Hidden Dragon","Anhui Province, China",Du Lu WangHui-Ling Wangand 2 more credits,,"Sword , Warrior , China , Fugitive , Rooftop , See more"
http://www.imdb.com/title/tt0209958/,The Cell,2000,18 August 2000,"Sci-Fi, Thriller",English,"USA, Germany",http://ia.media-imdb.com/images/M/MV5BMTU2ODAyMTYxMl5BMl5BanBnXkFtZTYwODcxOTU5._V1._SY317_.jpg,107 min,6.2,Tarsem Singh,"Jennifer Lopez, Vince Vaughn","An FBI agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.","Catharine Deane is a psychotherapist who is part of a revolutionary new treatment which allows her mind to literally enter the mind of her patients. Her experience in this method takes an unexpected turn when an FBI agent comes to ask for a desperate favour. They had just tracked down a notorious serial killer, Carl Stargher, whose MO is to abduct women one at a time and place them in a secret area where they are kept for about 40 hours until they are slowly drowned. Unfortunately, the killer has fallen into an irreversible coma which means he cannot confess where he has taken his latest victim before she dies. Now, Catherine Deane must race against time to explore the twisted mind of the killer to get the information she needs, but Stargher's damaged personality poses dangers that threaten to overwhelm her.,","$33,000,000(estimated)","$17,515,050(USA)(20 August 2000)(2411 Screens)","$104,155,843(Worldwide)","New Line Cinema, Caro-McLeod, Radical Media","107 min, 109 min","DTS, Dolby Digital, SDDS",Color,2.35 : 1,Official site,A Cela,"Bakersfield, California, USA",,Can beauty tame the beast?,"Serial Killer , FBI , Coma , Race Against Time , Necrophilia , See more"
http://www.imdb.com/title/tt0161081/,What Lies Beneath,2000,15 September 2000,"Drama, Horror, Mystery, Thriller",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTI5NjkwNDMwN15BMl5BanBnXkFtZTYwMzY2Nzg4._V1._SY317_CR6,0,214,317_.jpg",130 min,6.5,Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she's losing her mind.,"Norman Spencer, a university research scientist, is growing more and more concerned about his wife, Claire, a retired concert cellist who a year ago was involved in a serious auto accident, and who has just sent off her daughter Caitlin (Norman's stepdaughter) to college. Now, Claire reports hearing voices and witnessing eerie occurrences in and around their lakeside Vermont home, including seeing the face of a young woman reflected in water. An increasingly frightened Claire thinks the phenomena have something to do with the couple living next door, especially since the wife has disappeared without apparent explanation. At her husband's urging, Claire starts to see a therapist; she tells him she thinks the house is being haunted by a ghost. His advice? Try to make contact. Enlisting the help of her best friend, Jody, and a ouija board, Claire seeks to find out the truth of What Lies Beneath.,","$90,000,000(estimated)","$29,702,959(USA)(23 July 2000)(2813 Screens)","$291,420,351(Worldwide)","DreamWorks SKG, Twentieth Century Fox Film Corporation, ImageMovers",130 min,"DTS, Dolby Digital, SDDS",Color,2.35 : 1,,Revelaciones,"Burlington, Vermont, USA",Clark GreggSarah Kernochanand 1 more credit,Some men cheat and get caught. Some men pay a higher price.,"Ghost , Secret , Vermont , Research , Therapist , See more"
http://www.imdb.com/title/tt0212338/,Meet the Parents,2000,26 January 2001,"Comedy, Romance","English, Thai, Spanish, Hebrew, French",USA,http://ia.media-imdb.com/images/M/MV5BMTY4NzYzMDAxMF5BMl5BanBnXkFtZTYwMjQ2NTE5._V1._SY317_.jpg,108 min,7.0,Jay Roach,"Ben Stiller, Robert De Niro","Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.","A Jewish male nurse plans to ask his live-in girl friend to marry him. However, he learns that her strict father expects to be asked for his daughter's hand before she can accept. Thus begins the visit from Hell as the two travel to meet Mom and Dad, who turns out to be former CIA with a lie detector in the basement. Coincidentally, a sister also has announced her wedding to a young doctor. Of course everything that can go wrong, does, including the disappearance of Dad's beloved Himalayan cat, Jinxie.,","$55,000,000(estimated)","$28,623,300(USA)(8 October 2000)(2614 Screens)","$330,444,045(Worldwide)","Universal Pictures, DreamWorks SKG, Nancy Tenenbaum Films",108 min,"DTS, Dolby Digital, SDDS",Color,1.85 : 1,Universal Pictures and Dreamworks LLC,"Meine Braut, ihr Vater und ich","Brooklyn, New York City, New York, USA",Greg GliennaMary Ruth Clarkeand 4 more credits,First comes love. Then comes the interrogation.,"Male Nurse , Nurse , CIA , Cat , Mishap , See more"
http://www.imdb.com/title/tt0191397/,The Replacements,2000,11 August 2000,"Comedy, Sport","English, American Sign Language",USA,"http://ia.media-imdb.com/images/M/MV5BMTcwODQ4NDEzMl5BMl5BanBnXkFtZTcwMTIwMTgyMQ@@._V1._SY317_CR4,0,214,317_.jpg",118 min,6.3,Howard Deutch,"Keanu Reeves, Gene Hackman","During a pro football strike, the owners hire substitute players.","A comedy based on the 1987 professional football players' strike. Gene Hackman plays the coach of the team, Jack Warden is the owner, Brett Cullen is the All-Pro quarterback that goes on strike and Keanu Reeves is the ""scab"" who replaces the star QB.,","$50,000,000(estimated)","$11,039,214(USA)(13 August 2000)(2754 Screens)","$50,054,511(Worldwide)","Bel Air Entertainment, Dylan Sellers Productions, Warner Bros. Pictures","118 min, 114 min","DTS, Dolby Digital, SDDS",Color,1.85 : 1,"Warner Bros., Warner Bros.",Helden aus der zweiten Reihe,"Baltimore, Maryland, USA",,Pros on strike. Everyday guys get to play.,"Strike , Coach , Football , Sumo , Quarterback , See more"
http://www.imdb.com/title/tt0164052/,Hollow Man,2000,24 November 2000,"Action, Sci-Fi, Thriller",English,"USA, Germany",http://ia.media-imdb.com/images/M/MV5BMTE5OTQ3MTI2M15BMl5BanBnXkFtZTYwMTM0Mjc3._V1._SY317_.jpg,112 min,5.6,Paul Verhoeven,"Kevin Bacon, Elisabeth Shue","Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.","Elisabeth Shue is Linda Foster, a scientist who is working on a serum to make people invisible. When another scientist tries the serum and becomes invisible his colleagues figure another way to bring him back to the normal world.,","$95,000,000(estimated)","$26,414,386(USA)(6 August 2000)(2956 Screens)","$191,200,000(Worldwide)","Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG","112 min, 119 min","SDDS, Dolby Digital, DTS",Color,1.85 : 1,,Hollow Man - Unsichtbare Gefahr,"Los Angeles, California, USA",Gary Scott ThompsonAndrew W. Marloweand 1 more credit,You trust your eyes. You rely on your senses. You think you're alone. Think again.,"Scientist , Invisibility , Experiment , Researcher , Animal , See more"
http://www.imdb.com/title/tt0185431/,Little Nicky,2000,10 November 2000,"Comedy, Fantasy",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTQ4MTk3Mzk5NV5BMl5BanBnXkFtZTYwMTQ3NzI3._V1._SY317_CR0,0,214,317_.jpg",90 min,5.1,Steven Brill,"Adam Sandler, Patricia Arquette",A movie about the independent minded son of Beelzebub and the mischief he creates.,"When somebody's mother is an angel and his father is the devil, life can be really confusing. For a sweet boy like Little Nicky, it just got a whole lot worse. His two evil brothers Adrian and Cassius have just escaped from Hell and are wreaking havoc on an unsuspecting earth. His dad is disintegrating and it's up to Nicky to save him and all of a humanity by midnight before one of his brothers becomes the new Satan.,","$80,000,000(estimated)","$16,063,904(USA)(12 November 2000)(2910 Screens)","$39,442,871(USA)(28 January 2001)","Avery Pix, Happy Madison Productions, New Line Cinema",90 min,"DTS, Dolby Digital, SDDS",Color,1.85 : 1,"New Line, Official French Site",El hijo del diablo,"Long Beach, California, USA",Tim HerlihyAdam Sandlerand 1 more credit,"If Your Father Was The Devil And Your Mother Was An Angel, You'd Be Messed Up Too.","Hell , Satan , Angel , The Devil , Flask , See more"
